,ID,drawing,copy,time,SSIM,MSE
88,020,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_020_2021_Nov_01_0834,2021_Nov_01_0834,0.5134805845650974,10570.404250453721
89,018,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_018_2021_Oct_29_1330,2021_Oct_29_1330,0.530473298441794,10137.74294736842
90,011,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_011_2021_Oct_28_1845,2021_Oct_28_1845,0.49994980486861373,10997.27578584392
91,035,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_035_2021_Nov_09_1427,2021_Nov_09_1427,0.6076555727292742,8723.278854809438
92,029,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_029_2021_Nov_02_1520,2021_Nov_02_1520,0.569234138703545,9785.126470054447
93,038,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_038_2021_Nov_11_0832,2021_Nov_11_0832,0.572665332109378,9696.561132486388
94,034,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_034_2021_Nov_09_1331,2021_Nov_09_1331,0.5989498295845123,8949.703542649728
95,008,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_008_2021_Oct_28_1528,2021_Oct_28_1528,0.5891901253697635,9138.54389292196
96,042,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_042_2021_Nov_22_1128,2021_Nov_22_1128,0.6405510727005213,8131.819640653358
97,031,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_031_2021_Nov_08_0728,2021_Nov_08_0728,0.6543260590936466,7716.631519056261
98,023,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_023_2021_Nov_02_0922,2021_Nov_02_0922,0.6502237023648146,8074.992431941924
99,020,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_020_2021_Nov_01_0834,2021_Nov_01_0834,0.6020486475087452,9135.279068965518
100,026,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_026_2021_Nov_02_1220,2021_Nov_02_1220,0.6280814287024231,8475.70889292196
101,009,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_009_2021_Oct_28_1621,2021_Oct_28_1621,0.6253730903564597,8657.370047186932
102,006,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_006_2021_Oct_27_1217,2021_Oct_27_1217,0.6353830427528095,8464.468842105263
103,037,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_037_2021_Nov_11_0720,2021_Nov_11_0720,0.6367305114421019,8300.675956442832
104,014,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_014_2021_Oct_29_0932,2021_Oct_29_0932,0.631159633332292,8514.952085299456
105,010,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_010_2021_Oct_28_1721,2021_Oct_28_1721,0.5928848568939861,9186.309885662431
106,025,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_025_2021_Nov_02_1125,2021_Nov_02_1125,0.6536760247681633,8017.364564428312
107,022,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c2_n2_022_2021_Nov_02_0733,2021_Nov_02_0733,0.6645514237573026,7628.486867513611
108,039,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_039_2021_Nov_11_0928,2021_Nov_11_0928,0.6034575644934804,8584.372377495463
109,015,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_015_2021_Oct_29_1031,2021_Oct_29_1031,0.6300746928332035,7805.1202377495465
110,037,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_037_2021_Nov_11_0720,2021_Nov_11_0720,0.6420097510602697,7794.011798548095
111,014,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_014_2021_Oct_29_0932,2021_Oct_29_0932,0.6350680081504227,7960.161234119782
112,013,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_013_2021_Oct_29_0829,2021_Oct_29_0829,0.6219477810298221,8269.891484573503
113,016,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_016_2021_Oct_29_1124,2021_Oct_29_1124,0.6120039560268153,8477.95300907441
114,026,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_026_2021_Nov_02_1220,2021_Nov_02_1220,0.6232970006313346,7897.92182214156
115,031,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_031_2021_Nov_08_0728,2021_Nov_08_0728,0.5826200503435973,8903.85678584392
116,007,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_007_2021_Oct_27_1323,2021_Oct_27_1323,0.6052682026035557,8535.978642468239
117,017,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_017_2021_Oct_29_1223,2021_Oct_29_1223,0.6594089262821083,7210.914335753176
118,035,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_035_2021_Nov_09_1427,2021_Nov_09_1427,0.6538854754574928,7339.227856624319
119,018,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_018_2021_Oct_29_1330,2021_Oct_29_1330,0.6440879494241442,7538.585871143376
120,034,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_034_2021_Nov_09_1331,2021_Nov_09_1331,0.6282624227323498,8090.67485662432
121,038,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_038_2021_Nov_11_0832,2021_Nov_11_0832,0.6237650448475939,7960.696450090744
122,041,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c1_n1_041_2021_Nov_22_1034,2021_Nov_22_1034,0.6272268215238666,8226.963072595281
123,023,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_023_2021_Nov_02_0922,2021_Nov_02_0922,0.5218380148844511,11398.190237749546
124,021,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_021_2021_Nov_01_0922,2021_Nov_01_0922,0.6245811944402554,8367.793341197823
125,031,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_031_2021_Nov_08_0728,2021_Nov_08_0728,0.5348812608491401,10581.263529945554
126,027,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_027_2021_Nov_02_1318,2021_Nov_02_1318,0.49078848746423864,12396.08498185118
127,028,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_028_2021_Nov_02_1426,2021_Nov_02_1426,0.5956755969028481,9804.292673321233
128,034,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_034_2021_Nov_09_1331,2021_Nov_09_1331,0.6909172604247865,7846.728548094374
129,029,stimulus_o1_b3_c3_n1,stimulus_o1_b3_c3_n1_029_2021_Nov_02_1520,2021_Nov_02_1520,0.5808933952515117,10159.338092558984
